Location,Number of Records,Power output (MW),Wind Speed (m/s),Windmill
A,1,0,1.096875,a1
A,1,0.354645833,1.735069444,a10
A,1,0.122479167,1.760138889,a11
A,1,0.0431875,1.781319444,a12
A,1,0.279791667,1.810902778,a13
A,1,0.015479167,1.811666667,a14
A,1,0.051541667,1.827152778,a15
A,1,0,1.839930556,a16
A,1,0.094416667,1.877430556,a17
A,1,0.006625,1.890277778,a18
A,1,0.121416667,1.928958333,a19
A,1,0,1.231527778,a2
A,1,0.252208333,2.0025,a20
A,1,0.160041667,2.009513889,a21
A,1,0.110333333,2.048958333,a22
A,1,0.164229167,2.059861111,a23
A,1,0.1435,2.068680556,a24
A,1,0.06,2.075763889,a25
A,1,0.003229167,2.080625,a26
A,1,0.0485,2.110763889,a27
A,1,0.318479167,2.126736111,a28
A,1,0.2255625,2.177222222,a29
A,1,0.005479167,1.275138889,a3
A,1,0.697895833,2.217986111,a30
A,1,0.709354167,2.234097222,a31
A,1,0.012354167,2.313958333,a32
A,1,0.176854167,2.321111111,a33
A,1,0.221083333,2.352777778,a34
A,1,0.140083333,2.354583333,a35
A,1,0.1686875,2.530138889,a36
A,1,0.319125,2.543402778,a37
A,1,0.260666667,2.567708333,a38
A,1,0.430583333,2.608958333,a39
A,1,0.010104167,1.365486111,a4
A,1,0.389583333,2.623611111,a40
A,1,0.229770833,2.660486111,a41
A,1,0.192541667,2.683333333,a42
A,1,0.156625,2.734583333,a43
A,1,0.333166667,2.740486111,a44
A,1,0.287416667,2.789027778,a45
A,1,0.4788125,2.828194444,a46
A,1,0.472145833,2.923958333,a47
A,1,0.295604167,2.997361111,a48
A,1,0.489291667,3.059583333,a49
A,1,0.0108125,1.387777778,a5
A,1,0.518604167,3.0675,a50
A,1,0.879666667,3.083402778,a51
A,1,0.406166667,3.088680556,a52
A,1,0.000145833,1.550138889,a6
A,1,0,1.563611111,a7
A,1,0,1.60625,a8
A,1,0.052520833,1.680138889,a9
B,1,1.859270833,4.668333333,a101
B,1,2.8730625,4.699375,a103
B,1,2.613458333,4.751805556,a105
B,1,3.617708333,4.812777778,a107
B,1,3.215791667,4.850486111,a109
B,1,2.300958333,4.882222222,a111
B,1,2.173583333,5.008680556,a113
B,1,5.192541667,5.131388889,a115
B,1,3.5228125,5.176666667,a117
B,1,3.165229167,5.258888889,a119
B,1,4.347583333,5.330277778,a121
B,1,4.451145833,5.354166667,a123
B,1,4.8259375,5.427291667,a125
B,1,3.454895833,5.466736111,a127
B,1,3.454604167,5.4925,a129
B,1,3.0796875,5.517638889,a131
B,1,5.719208333,5.632083333,a133
B,1,6.203895833,5.719305556,a135
B,1,3.140729167,5.762083333,a137
B,1,4.413333333,5.933541667,a139
B,1,5.391645833,6.049305556,a141
B,1,5.886416667,6.113402778,a143
B,1,7.9389375,6.13625,a145
B,1,5.458958333,6.223055556,a147
B,1,5.995979167,6.356805556,a149
B,1,4.227875,6.381111111,a151
B,1,7.569270833,6.408194444,a153
B,1,9.040395833,6.475277778,a155
B,1,6.759125,6.482083333,a157
B,1,4.890645833,6.562013889,a159
B,1,8.010479167,6.604583333,a161
B,1,9.173770833,6.620069444,a163
B,1,7.109166667,6.637013889,a165
B,1,7.063833333,6.687569444,a167
B,1,9.01575,6.710972222,a169
B,1,8.546229167,6.766944444,a171
B,1,9.4365625,6.793819444,a173
B,1,6.879104167,6.887222222,a175
B,1,8.5985625,6.976527778,a177
B,1,6.581291667,6.999791667,a179
B,1,6.146354167,7.039652778,a181
B,1,7.109854167,7.065625,a183
B,1,9.888145833,7.147013889,a185
B,1,8.1181875,7.219444444,a187
B,1,9.0253125,7.308541667,a189
B,1,9.586104167,7.375694444,a191
B,1,11.4929375,7.471319444,a193
B,1,10.39083333,7.565416667,a195
